stock_code,stock_name,gap_per,gap_hour,gap_int,stck_oprc,stck_hgpr,stck_lwpr_D_10,stck_lwpr_D_9,stck_lwpr_D_8,stck_lwpr_D_7,stck_lwpr_D_6,stck_lwpr_D_5,stck_lwpr_D_4,stck_lwpr_D_3,stck_lwpr_D_2,stck_lwpr_D_1,stck_lwpr_D_0,acml_vol_D_10,acml_vol_D_9,acml_vol_D_8,acml_vol_D_7,acml_vol_D_6,acml_vol_D_5,acml_vol_D_4,acml_vol_D_3,acml_vol_D_2,acml_vol_D_1,acml_vol_D_0,gap_change,mean_vlome,today_vlome,volume_change,slope,day_change,deter_change
000545,흥국화재우,2.60,090013,2.6,7100,7100,6710,6730,6800,6970,6880,7150,7070,7060,6970,6900,6850,946,5900,10544,5194,5721,745,653,2916,4191,846,4008,2,3765.6,4008,0.06437221159974515,0.004595400514685025,0,0
001390,KG케미칼,3.15,090029,3.15,34350,35600,24450,23400,23400,23500,23100,23800,24250,24500,24800,25650,32900,186918,161668,75941,56776,51179,118550,99633,91843,170560,3990677,3728552,3,112563.11111111111,3728552,32.12410223203181,-0.0004248409160177247,1250,1
006220,제주은행,7.26,090030,7.26,23250,23800,21950,22000,21200,21400,21000,20250,20700,21350,21350,21400,21700,3113398,2589977,2424579,1500839,1504847,1035343,3194828,1065053,677734,2278055,2196036,7,1938465.3,2196036,0.13287351597162966,-0.0022733460386605018,550,1
006570,대림통상,3.09,090029,3.09,4005,5050,3870,3830,3750,3850,3695,3695,3825,3855,3820,3875,3935,3309,2278,7875,4091,7995,3977,5814,4326,5322,5748,1334669,3,5073.5,1334669,262.06671922735785,-0.003861366343002677,1045,1
017040,광명전기,3.85,090025,3.85,2595,2650,2395,2360,2370,2310,2275,2305,2310,2360,2380,2400,2475,359323,408076,330451,451657,230749,172017,276001,394795,439264,1245182,6365970,3,340259.22222222225,6365970,17.70917695756797,-0.018136680228949778,55,1
034830,한국토지신탁,6.03,090029,6.03,1358,1430,1304,1300,1303,1300,1298,1301,1300,1302,1302,1302,1328,780850,757561,375040,631658,644758,462706,331643,341091,403308,804617,6578029,6,553323.2,6578029,10.888221928883517,-0.04369120828370717,72,1
066570,LG전자,2.36,090030,2.36,116200,120600,112600,111000,112300,112400,111400,110500,110600,109500,111100,112200,116200,735027,692730,1414208,711338,556263,666842,484235,475873,964347,748490,1722219,2,670571.6666666666,1722219,1.568284771948313,-0.0007046237460727962,4400,1
071970,STX중공업,11.39,090008,11.39,6200,6810,6150,6070,6260,6380,6350,6570,6660,6130,6040,6060,5300,573609,339970,368506,202660,341052,262694,335784,625901,549294,346480,1930698,11,394595.0,1930698,3.8928597676098278,0.0012460271597804515,610,1
075180,새론오토모티브,2.24,090022,2.24,4795,4795,4825,4825,4600,4785,4790,4795,4650,4600,4605,4665,4655,716,239,1189,1498,2266,1730,15988,2536,920,2340,5164,2,1492.6666666666667,5164,2.4595801697186244,-0.01893585811441513,0,0
205720,ACE 일본TOPIX인버스(합성 H),2.00,090030,2.0,3830,3830,3855,3850,3860,3860,3860,3825,3840,3815,3755,3730,3690,208,1588,954,1873,2378,4993,395,3053,10395,2430,3764,2,1985.7777777777778,3764,0.8954789615040286,-0.03681592039800281,0,0
213630,ARIRANG 미국다우존스고배당주(합성 H),3.80,090030,3.8,16650,16650,16350,16090,16045,16010,15985,15955,15760,15800,15950,15955,15725,1218,3557,971,1310,4586,2145,1511,768,3315,1102,2641,3,2048.3,2641,0.2893619098764828,-0.008905093845566368,0,0
217770,TIGER 원유선물인버스(H),3.87,090003,3.87,3355,3370,3365,3405,3500,3415,3390,3425,3345,3335,3275,3215,3340,102159,227185,502542,261072,108679,334945,162935,151023,335417,545842,484729,3,273179.9,484729,0.7743948218737906,-0.004307835603678402,15,1
225800,KOSEF 미국달러선물레버리지,2.50,090023,2.5,11875,11995,11455,11575,11460,11520,11780,11845,11640,11570,11475,11530,11850,17011,12261,30014,12720,43234,12598,12623,6752,5546,6139,11727,2,10706.25,11727,0.09534150612959724,-0.004031228480126157,120,1
252420,KBSTAR 200선물인버스2X,2.11,090028,2.11,2910,2950,2800,2870,2825,2830,2940,2885,2865,2880,2820,2815,2905,103877,251084,306967,133610,332431,195922,241790,84783,227829,134284,191577,2,201257.7,191577,-0.0481010167561291,-0.005239259517987422,40,1
252670,KODEX 200선물인버스2X,2.26,090027,2.26,2930,2960,2810,2885,2835,2835,2960,2895,2880,2890,2835,2820,2915,144981568,153130608,198066064,143565856,181334528,164573792,218438080,150909568,141167312,93671152,122972896,2,158983852.8,122972896,-0.22650700788652678,-0.005634390651084675,30,1
253230,KOSEF 200선물인버스2X,2.09,090019,2.09,2925,2965,2815,2885,2835,2840,2965,2900,2880,2885,2835,2830,2920,82467,311365,140060,200736,259021,144618,93710,39758,83489,57575,107267,2,141279.9,107267,-0.24074833008800256,-0.0059692114357518394,40,1
256750,KODEX 차이나심천ChiNext(합성),3.34,090030,3.34,10975,10975,10975,10965,10915,10835,10750,10870,10925,10810,10680,10620,10575,4540,8763,22268,26450,7694,5410,2250,9472,6951,6389,3822,3,6433.625,3822,-0.40593366881035187,-0.026745849408296753,0,0
261110,TIGER 미국달러선물레버리지,2.98,090020,2.98,12615,12690,12120,12265,12140,12185,12480,12540,12320,12250,12120,12210,12545,2850,4860,46045,11829,32378,13142,10479,4502,20945,29543,23320,2,17657.3,23320,0.32070022030548273,-0.004058436219405447,75,1
261250,KODEX 미국달러선물레버리지,2.60,090004,2.6,12410,12530,11980,12110,12000,12050,12335,12365,12170,12085,11995,12045,12375,98780,149338,201280,154387,674916,207517,190299,197122,218745,74310,293979,2,165753.11111111112,293979,0.7735956690606778,-0.004216290418687323,120,1
271050,KODEX WTI원유선물인버스(H),3.81,090007,3.81,4910,4925,4930,4985,5120,5005,4970,5010,4895,4880,4800,4710,4890,260249,476504,806335,303035,206189,176574,397424,348863,882354,1417439,1039788,3,428614.1111111111,1039788,1.4259303953024824,-0.002608128667680459,15,1
316300,ACE 싱가포르리츠,2.42,090030,2.42,12465,12465,12270,12160,12250,11925,12210,12270,12245,12065,12240,12160,12070,122,431,614,1685,101,495,1125,1621,287,1154,1131,2,763.5,1131,0.4813359528487229,-0.01108388509462492,0,0
334700,KBSTAR 팔라듐선물인버스(H),2.31,090029,2.31,5305,5350,4885,4800,4995,5130,5240,5115,5055,5050,5065,5110,5300,317,5246,367,1060,2518,1051,2812,105,1034,939,7042,2,1133.6666666666667,7042,5.211702440458688,-0.0031740290274449154,45,1
373530,ARIRANG 신흥국MSCI인버스(합성 H),2.67,090022,2.67,11550,11550,11155,11315,11350,11370,11620,11680,11400,11375,11260,11245,11510,16,232,316,119,58,5,61,53,208,48,15,2,111.6,15,-0.8655913978494624,0.0020347983155788608,0,0
400570,KODEX 유럽탄소배출권선물ICE(H),2.41,090020,2.41,14470,14540,14825,15090,14550,14620,14760,15105,14695,14110,13975,14050,14465,74497,89937,47499,20757,26288,51215,22360,49050,36013,29050,31365,2,39636.555555555555,31365,-0.20868502420604995,-0.0010664001196913804,70,1
416090,ACE 중국과창판STAR50,2.43,090030,2.43,7580,7580,7200,7160,7200,7150,7170,7175,7200,7325,7430,7400,7365,1697,362,320,1920,2583,195,1871,20314,3490,14209,868,2,1554.75,868,-0.4417108859945329,-0.0099886403697756,0,0
421320,ARIRANG 우주항공&UAM iSelect,2.27,090030,2.27,10345,10345,9935,9850,9920,10025,9790,9925,9700,9600,10035,10115,9920,16664,16682,11019,9959,13663,15819,42273,7903,20658,14539,15249,2,14100.666666666666,15249,0.08143822987092819,-0.010512367900445302,0,0
J00121218,금호전기 31WR,16.39,090009,16.39,71,71,71,68,66,61,52,58,59,42,54,55,53,354712,21465,28423,27086,304983,46396,140069,213069,26650,17619,12205,16,118047.2,12205,-0.8966091529489899,-0.28200755268607636,0,0
J00532219,국동 9WR,2.82,090030,2.82,657,657,501,542,509,500,500,512,535,600,620,639,600,2475,206,243,3219,1716,1729,29554,25908,6214,982,5527,2,2098.0,5527,1.63441372735939,-0.019988341285387103,0,0
J0673921B,아스트 9WR,10.24,090030,10.24,1130,1130,1065,961,975,916,950,930,945,920,940,1000,1097,10003,5997,2010,2210,109,5552,6230,3884,15836,36215,37894,10,5759.0,37894,5.579961798923424,-0.031145773568965248,0,0
J2901221A,대유에이피 3WR,11.97,090030,11.97,290,290,269,254,262,292,288,298,295,276,271,254,240,97609,91393,26708,6631,12398,12379,22934,42157,7764,30037,9118,11,20126.0,9118,-0.5469541886117459,0.04483224064789863,0,0
Q500057,신한 인버스 2X Russell 2000 ETN,3.72,090030,3.72,7520,7580,6980,7345,7220,7175,7400,7375,7285,7295,7000,7250,7510,10,3230,2750,7628,10152,7352,42,60,411,179,1559,3,3181.4,1559,-0.5099641667190545,-0.003749119097956233,60,1
Q500058,신한 S&P500 VIX S/T 선물 ETN C,3.31,090030,3.31,4675,4735,5000,5300,5075,4970,5175,5015,4920,4775,4550,4490,4670,66512,148414,43103,65234,62877,73489,179171,135443,199572,115593,204776,3,108940.8,204776,0.879699800258489,0.0025770969506752443,60,1
Q500066,신한 블룸버그 인버스 2X WTI원유 선물 ETN,9.85,090017,9.85,20635,20690,20405,21035,22065,21110,20890,21520,20290,20055,19260,18615,20415,117704,28531,99866,149293,10555,11762,43280,132172,113255,27662,96827,9,73408.0,96827,0.3190251743679162,-0.0005917803484174046,55,1
Q500073,신한 블룸버그 2X 천연가스 선물 ETN(H),5.41,090012,5.41,2340,2390,1855,1585,1790,2080,2275,2500,2655,2660,2470,2105,2310,677326,1671237,1165377,1322191,1514982,778232,716641,456985,1133417,2097463,684488,5,1153385.1,684488,-0.40653993189265236,0.004134582254949888,50,1
Q500028,신한 인버스 2X 다우존스지수 선물 ETN(H),3.15,090024,3.15,2130,2140,2025,2040,2095,2095,2135,2125,2135,2120,2060,2050,2130,42927,271866,222683,99067,135356,62996,83959,73491,65537,42556,80719,3,75736.125,80719,0.06579257916879167,0.021868787276342908,10,1
Q500003,신한 인버스 WTI원유 선물 ETN(H),4.12,090013,4.12,3035,3040,3040,3075,3160,3090,3060,3095,3020,3010,2955,2900,3020,6979,16839,102052,3867,9111,1950,41227,47306,11476,23412,9242,4,18018.555555555555,9242,-0.48708430198499075,-0.005754385964911504,5,1
Q500008,신한 인버스 구리 선물 ETN(H),2.67,090030,2.67,5580,5585,5330,5285,5315,5440,5560,5520,5310,5410,5445,5435,5555,4422,4922,1785,8131,2363,662,3667,1969,432,693,2667,2,2904.6,2667,-0.08180128072712245,-0.005955458532008058,5,1
Q500027,신한 인버스 2X WTI원유 선물 ETN(H),8.70,090023,8.7,125,125,125,125,130,125,125,125,120,120,115,115,120,1101032,18850138,19378236,2720634,4910827,10702830,3250380,949624,30212124,2772232,4512860,8,9484805.7,4512860,-0.5242011125225263,-0.5862068965517219,0,0
Q500030,신한 인버스 2X 은 선물 ETN(H),9.27,090011,9.27,2475,2530,2100,2090,2140,2190,2315,2350,2280,2265,2210,2250,2470,9393,3216,4310,36400,29382,44421,37822,33431,20955,18176,107050,9,23750.6,107050,3.5072545535691733,-0.0041080174189807445,55,1
Q500038,신한 인버스 2X 금 선물 ETN,5.05,090030,5.05,5725,5780,5420,5480,5515,5545,5690,5685,5515,5480,5370,5420,5720,7170,11057,10877,12720,23369,9809,35403,11121,5404,8662,17293,5,9602.5,17293,0.8008851861494402,-0.007447820390875897,55,1
Q500041,신한 인버스 2X 구리 선물 ETN,6.23,090030,6.23,2900,2915,2610,2590,2610,2735,2880,2845,2610,2675,2720,2700,2880,27318,27206,9283,37566,149338,28172,124854,58332,47475,10257,25086,6,30701.125,25086,-0.18289639223318366,-0.006059314292673994,15,1
Q510016,대신 천연가스 선물 ETN(H),2.06,090026,2.06,8680,8790,7555,6880,7420,7955,8400,8750,9085,9100,8880,8255,8635,17270,50474,12814,20062,35449,36052,11573,10747,16002,14943,3665,2,22538.6,3665,-0.8373900774671008,0.0015947760360269492,110,1
Q510023,대신 S&P 인버스 WTI원유 선물 ETN,6.08,090013,6.08,13430,13430,13125,13365,13785,13420,13420,13630,13175,13165,12780,12635,13340,4,46,15,12,2,0,5,2,2,10,171,6,5.777777777777778,171,28.596153846153847,-0.002389138162111625,0,0
Q510028,대신 S&P 2X 천연가스 선물 ETN,5.99,090011,5.99,2125,2200,1680,1440,1620,1805,2085,2290,2410,2420,2240,1905,2115,45606,197865,110448,247452,221779,173625,150273,100838,125527,95405,42887,5,146881.8,42887,-0.708016922450569,0.0042664524642836744,75,1
Q520047,미래에셋 인버스 2X 옥수수 선물 ETN,6.25,090030,6.25,14440,14440,11955,11985,12110,12495,13160,13400,13580,13725,13445,13505,13795,7027,1142,1030,13501,5087,8771,14251,2722,3611,1234,981,6,5837.6,981,-0.8319514869124298,-8.050950317097313e-05,0,0
Q520050,미래에셋 인버스 2X 원유선물혼합 ETN(H),5.21,090024,5.21,18280,18870,18775,19095,20005,19270,18900,19235,18450,18300,17800,17250,18280,12928,41386,45770,2234,20638,4456,3479,4890,22415,25492,27005,5,18368.8,27005,0.4701559165541571,-0.0003605632889853718,590,1
Q520052,미래에셋 천연가스 선물 ETN(H),2.52,090027,2.52,3665,3715,3175,2950,3125,3340,3545,3720,3830,3840,3745,3490,3650,153919,493706,86123,408132,353715,284435,130437,67967,220225,199795,40858,2,239845.4,40858,-0.8296485986389566,0.0038537787914701754,50,1
