stock_code,stock_name,stock_class,gap_per,gap_hour,gap_int,stck_oprc,stck_hgpr,stck_lwpr_D_10,stck_lwpr_D_9,stck_lwpr_D_8,stck_lwpr_D_7,stck_lwpr_D_6,stck_lwpr_D_5,stck_lwpr_D_4,stck_lwpr_D_3,stck_lwpr_D_2,stck_lwpr_D_1,stck_lwpr_D_0,acml_vol_D_10,acml_vol_D_9,acml_vol_D_8,acml_vol_D_7,acml_vol_D_6,acml_vol_D_5,acml_vol_D_4,acml_vol_D_3,acml_vol_D_2,acml_vol_D_1,acml_vol_D_0,gap_change,mean_vlome,today_vlome,volume_change,slope,day_change,deter_change
F70101B95,밀라노부동산,kospi,6.45,090030,6,990,990,990,990,990,990,990,990,990,990,990,930,990,5,5,5,5,5,5,0,0,5,6,1,6,3.888888888888889,1,-0.7428571428571429,0.005081300813008128,0,0
002350,넥센타이어,kospi,10.46,090030,10,8190,8470,7600,7490,7500,7530,7500,7390,7470,7530,7600,7540,7370,84841,74141,61870,85006,71833,143621,123720,70886,164795,80964,1506474,10,88808.3,1506474,15.963211771872672,0.0005219068771786544,280,1
002355,넥센타이어1우B,kospi,4.01,090010,4,2980,2980,2860,2860,2860,2875,2870,2875,2890,2880,2870,2855,2840,924,6681,17908,11468,5273,4494,5809,2864,1173,2614,52075,4,4614.0,52075,10.286302557433897,0.0016404523260438728,0,0
002760,보락,kospi,13.60,090008,13,1710,1880,1686,1660,1674,1674,1670,1673,1687,1686,1661,1643,1603,446741,366476,237258,287261,310324,359081,193541,153128,159075,350499,3364810,13,251448.8,3364810,12.381690427633778,0.002637772884662665,170,1
003550,LG,kospi,2.79,090029,2,88200,92600,83700,82200,81300,80500,82200,82900,81900,80500,80000,79500,85800,276441,208758,292162,308145,162252,195499,139962,263821,329197,1407001,1294277,2,226203.7,1294277,4.721732226307527,4.9302530823731626e-05,4400,1
006040,동원산업,kospi,3.08,090027,3,48500,48700,51100,50100,50100,49600,49300,50100,49950,48700,48350,46850,46000,88746,57757,189672,41405,46279,22723,15945,28301,31287,35462,26970,3,42049.22222222222,26970,-0.35860882616404577,0.00010299187222470909,200,1
019170,신풍제약,kospi,7.05,090026,7,19640,23200,20250,19150,19350,19130,19350,19260,19730,19310,19350,18650,19640,197171,434866,221170,232202,123706,392972,148196,221457,156128,281598,3997847,7,164958.75,3997847,23.235434616229814,0.00020639870227676755,3560,1
019175,신풍제약우,kospi,15.07,090030,15,37800,42700,39000,37400,36700,36300,35950,34950,35550,34500,33800,32750,36000,3613,6642,7388,4728,4851,8687,4346,3980,5085,4399,54344,15,5480.0,54344,8.916788321167884,9.896453649496947e-05,4900,1
035720,카카오,kospi,4.82,090030,4,60300,62400,61600,61000,61900,60800,60900,61100,61400,59000,58900,57500,58800,1339514,1407458,1870108,1842975,1250945,2768767,2322926,2935338,1949722,2009728,5715859,4,1774655.3,5715859,2.220827729193382,8.121318099277403e-05,2100,1
074610,이엔플러스,kospi,3.03,090026,3,4655,5440,4030,4060,4030,3930,3965,4105,4500,4705,4360,4230,4655,2172929,1285260,1562262,2686020,1588351,14784226,24861816,5314744,3936885,3172697,30332362,3,2318888.25,30332362,12.0805622047548,0.0007779163394367875,785,1
