stock_code,stock_name,stock_class,gap_per,gap_hour,gap_int,stck_oprc,stck_hgpr,stck_lwpr_D_10,stck_lwpr_D_9,stck_lwpr_D_8,stck_lwpr_D_7,stck_lwpr_D_6,stck_lwpr_D_5,stck_lwpr_D_4,stck_lwpr_D_3,stck_lwpr_D_2,stck_lwpr_D_1,stck_lwpr_D_0,acml_vol_D_10,acml_vol_D_9,acml_vol_D_8,acml_vol_D_7,acml_vol_D_6,acml_vol_D_5,acml_vol_D_4,acml_vol_D_3,acml_vol_D_2,acml_vol_D_1,acml_vol_D_0,gap_change,mean_vlome,today_vlome,volume_change,slope,day_change,deter_change,day_change_per
000150,두산,kospi,2.62,090017,2.62,102000.0,104200.0,98600.0,98600.0,99700.0,101400.0,102200.0,104000.0,105000.0,106200.0,101100.0,99000.0,99000.0,332428.0,201916.0,330574.0,425263.0,222596.0,166663.0,414916.0,294952.0,196009.0,207245.0,219630.0,2.62,268431.7,219630,-0.18180304338123998,5.11879693954102e-05,2200.0,1,0.021568627450980316
000180,성창기업지주,kospi,2.30,090017,2.3,2000.0,2130.0,2090.0,2140.0,2140.0,2145.0,2135.0,2135.0,2090.0,2055.0,1995.0,1950.0,1986.0,855831.0,119021.0,123144.0,114051.0,215874.0,68135.0,119682.0,157005.0,224982.0,215216.0,396274.0,2.3,127097.77777777778,396274,2.117867258803371,0.0024768929401655687,130.0,1,0.06499999999999995
000300,대유플러스,kospi,2.05,090011,2.05,798.0,811.0,844.0,869.0,855.0,856.0,881.0,890.0,875.0,851.0,801.0,782.0,789.0,580845.0,658130.0,635416.0,765569.0,1127427.0,472298.0,408734.0,389349.0,422999.0,703971.0,247911.0,2.05,481569.8888888889,247911,-0.48520244782746424,0.006723459481478227,13.0,1,0.01629072681704269
000990,DB하이텍,kospi,2.66,090023,2.66,46400.0,47100.0,45150.0,44200.0,44650.0,45300.0,44750.0,44900.0,49250.0,45700.0,45600.0,45050.0,45350.0,395296.0,480992.0,439094.0,458629.0,628028.0,9097803.0,2644185.0,2087378.0,636970.0,595040.0,477843.0,2.66,868435.7777777778,477843,-0.4497658753503425,0.00011081751241849471,700.0,1,0.015086206896551824
000995,DB하이텍1우,kospi,4.08,090018,4.08,96900.0,96900.0,94500.0,94500.0,94800.0,92200.0,91800.0,95900.0,95500.0,91500.0,90700.0,92200.0,93200.0,271.0,724.0,366.0,1393.0,559.0,18744.0,10058.0,3422.0,1640.0,1153.0,683.0,4.08,4130.777777777777,683,-0.8346558355972779,5.0575371979880135e-05,0.0,0,0.0
001060,JW중외제약,kospi,2.50,090020,2.5,19300.0,19340.0,20104.0,20104.0,20007.0,20007.0,20541.0,20541.0,20055.0,19424.0,19090.0,18830.0,18960.0,46857.0,97946.0,55902.0,79158.0,66064.0,45591.0,80253.0,68554.0,49023.0,55790.0,31644.0,2.5,60830.8,31644,-0.4798029945356629,0.0002694438516531305,40.0,1,0.002072538860103723
001250,GS글로벌,kospi,2.00,090024,2.0,2300.0,2500.0,2465.0,2450.0,2435.0,2415.0,2445.0,2520.0,2485.0,2430.0,2310.0,2255.0,2295.0,361674.0,499603.0,421185.0,346116.0,1047909.0,883515.0,438745.0,611113.0,656079.0,733466.0,2154513.0,2.0,468925.0,2154513,3.59457909047289,0.002167406134823329,200.0,1,0.08695652173913038
001340,백광산업,kospi,2.33,090026,2.33,4830.0,5160.0,4850.0,4895.0,4975.0,5270.0,5330.0,5220.0,5180.0,5030.0,4995.0,4710.0,4830.0,473613.0,381910.0,595188.0,724444.0,1800138.0,1242638.0,677545.0,347034.0,297360.0,572209.0,880959.0,2.33,527173.5555555555,880959,0.6710986177438509,0.0010966375069467696,330.0,1,0.06832298136645965
001390,KG케미칼,kospi,2.90,090024,2.9,30200.0,31300.0,23800.0,24250.0,24500.0,24800.0,25650.0,32900.0,30100.0,28450.0,27750.0,28200.0,29350.0,118550.0,99633.0,91843.0,170560.0,3990677.0,3732208.0,1151544.0,456182.0,602487.0,806938.0,772826.0,2.9,340018.625,772826,1.272893139309648,0.00016927189570900255,1100.0,1,0.036423841059602724
001465,BYC우,kospi,2.76,090030,2.76,163800.0,163800.0,162000.0,164000.0,167900.0,170100.0,167000.0,169800.0,167900.0,161400.0,160000.0,159400.0,159800.0,1030.0,1798.0,1479.0,1159.0,787.0,529.0,250.0,583.0,442.0,280.0,1121.0,2.76,895.2222222222222,1121,0.252203053245625,3.2016509351359436e-05,0.0,0,0.0
