stock_code,stock_name,gap_per,gap_hour,gap_int
001620,케이비아이동국실업,2.35,090019,2.35
004020,현대제철,2.00,090016,2.0
004140,동방,4.44,090027,4.44
005490,POSCO홀딩스,2.36,090028,2.36
005950,이수화학,5.33,090030,5.33
006200,한국전자홀딩스,4.51,090024,4.51
007340,DN오토모티브,3.55,090008,3.55
00781K,코리아써키트2우B,2.20,090023,2.2
008260,NI스틸,2.62,090008,2.62
011500,한농화성,2.47,090025,2.47
012800,대창,2.43,090021,2.43
020560,아시아나항공,2.14,090027,2.14
025820,이구산업,2.46,090018,2.46
055490,테이팩스,6.31,090025,6.31
058850,KTcs,2.93,090029,2.93
079160,CJ CGV,2.01,090022,2.01
092220,KEC,8.05,090030,8.05
103140,풍산,3.76,090019,3.76
112610,씨에스윈드,3.89,090027,3.89
138910,KODEX 구리선물(H),2.02,090030,2.02
160580,TIGER 구리실물,2.16,090030,2.16
18064K,한진칼우,4.52,090023,4.52
189400,ARIRANG 글로벌MSCI(합성 H),2.54,090030,2.54
204210,모두투어리츠,2.96,090020,2.96
204450,KODEX 차이나H레버리지(H),7.11,090025,7.11
204480,TIGER 차이나CSI300레버리지(합성),2.47,090030,2.47
210540,디와이파워,2.85,090018,2.85
214420,토니모리,2.44,090006,2.44
219900,ACE 중국본토CSI300레버리지(합성),2.94,090030,2.94
230480,KOSEF 미국달러선물인버스2X,2.01,090005,2.01
250730,KBSTAR 차이나HSCEI(H),4.87,090030,4.87
256450,ARIRANG 심천차이넥스트(합성),5.31,090030,5.31
256750,KODEX 차이나심천ChiNext(합성),2.19,090023,2.19
261220,KODEX WTI원유선물(H),2.10,090025,2.1
261260,KODEX 미국달러선물인버스2X,2.13,090013,2.13
267290,경동도시가스,2.59,090022,2.59
267850,아시아나IDT,9.18,090025,9.18
291130,ACE 멕시코MSCI(합성),2.08,090030,2.08
310080,KBSTAR 중국MSCI China(H),2.61,090030,2.61
319870,KBSTAR KRX300미국달러선물혼합,2.94,090030,2.94
322000,현대에너지솔루션,6.34,090023,6.34
371150,KBSTAR 차이나항셍테크,2.03,090030,2.03
371160,TIGER 차이나항셍테크,3.39,090006,3.39
372330,KODEX 차이나항셍테크,3.12,090030,3.12
396510,TIGER 차이나클린에너지SOLACTIVE,2.05,090022,2.05
415920,ARIRANG 글로벌희토류전략자원기업MV,4.90,090030,4.9
419430,KODEX 차이나2차전지MSCI(합성),3.13,090030,3.13
438320,TIGER 차이나항셍테크레버리지(합성 H),8.63,090013,8.63
449180,KODEX 미국S&P500(H),5.79,090030,5.79
J00121218,금호전기 31WR,41.38,090030,41.38
J0048721A,티웨이홀딩스 24WR,6.92,090030,6.92
J0051121C,한창 66WR,15.70,090030,15.7
J0110821B,형지I&C 6WR,4.00,090008,4.0
J0113321D,유니켐 38WR,2.46,090021,2.46
J01957229,리더스 기술투자 9WR,8.27,090030,8.27
J0234421A,제이스코홀딩스 2WR,23.82,090024,23.82
J1806421A,한진칼 3WR,18.39,090003,18.39
J2901221A,대유에이피 3WR,2.33,090030,2.33
Q500065,신한 블룸버그 레버리지 WTI원유 선물 ETN,3.16,090013,3.16
Q500073,신한 블룸버그 2X 천연가스 선물 ETN(H),5.89,090024,5.89
Q500018,신한 구리 선물 ETN(H),4.09,090030,4.09
Q500019,신한 레버리지 WTI원유 선물 ETN(H),4.17,090022,4.17
Q500029,신한 레버리지 은 선물 ETN(H),3.26,090030,3.26
Q500040,신한 레버리지 구리 선물 ETN,6.60,090029,6.6
Q510016,대신 천연가스 선물 ETN(H),2.41,090017,2.41
Q510017,대신 2X 철광석 선물 ETN(H),5.39,090030,5.39
Q510022,대신 S&P WTI원유 선물 ETN,2.47,090013,2.47
Q510028,대신 S&P 2X 천연가스 선물 ETN,4.89,090017,4.89
Q520052,미래에셋 천연가스 선물 ETN(H),2.80,090024,2.8
Q520058,미래에셋 S&P 2X 천연가스 선물 ETN(H),5.91,090029,5.91
Q520009,미래에셋 레버리지 원유선물혼합 ETN(H),4.73,090017,4.73
Q530068,삼성 레버리지 천연가스 선물 ETN B,5.15,090008,5.15
Q530079,삼성 항셍테크 ETN(H),4.53,090030,4.53
Q530081,삼성 레버리지 항셍테크 ETN(H),7.51,090018,7.51
Q530098,삼성 블룸버그 WTI원유 선물 ETN,2.14,090030,2.14
Q530099,삼성 블룸버그 레버리지 WTI원유 선물 ETN,4.39,090017,4.39
Q530031,삼성 레버리지 WTI원유 선물 ETN,4.14,090015,4.14
Q530061,삼성 레버리지 은 선물 ETN(H),3.22,090030,3.22
Q530063,삼성 레버리지 구리 선물 ETN(H),7.88,090030,7.88
Q530023,삼성 레버리지 China A50 선물 ETN(H),4.40,090030,4.4
Q550074,QV 블룸버그 2X 천연가스 선물 ETN(H),7.57,090015,7.57
Q570045,TRUE 레버리지 천연가스 선물 ETN(H),5.54,090016,5.54
Q570069,TRUE 레버리지 플래티넘 선물 ETN,2.62,090022,2.62
Q570078,TRUE 블룸버그 레버리지 WTI원유 선물 ETN,3.07,090012,3.07
